subject_country,migrated_country,region,total_migrant,male_migrant,female_migrant,18to24_migrant,25to34_migrant,35_to_54_migrant,55+_migrant
Austria,Malaysia,Asia,0,0,0,0,0,0,0
Austria,Malta,Europe,0,0,0,0,0,0,0
Austria,Mexico,Americas,610,320,0,0,0,0,0
Austria,Morocco,Africa,0,0,0,0,0,0,0
Austria,Netherlands,Europe,1100,470,540,0,440,460,0
Austria,New Zealand,Oceania,0,0,0,0,0,0,0
Austria,Nigeria,Africa,0,0,0,0,0,0,0
Austria,Cyprus.1,Other,0,0,0,0,0,0,0
Austria,Norway,Europe,370,0,0,0,0,0,0
Austria,Oman,Asia,0,0,0,0,0,0,0
Austria,Pakistan,Asia,0,0,0,0,0,0,0
Austria,Palestine,Asia,0,0,0,0,0,0,0
Austria,Panama,Americas,0,0,0,0,0,0,0
Austria,Paraguay,Americas,0,0,0,0,0,0,0
Austria,Peru,Americas,0,0,0,0,0,0,0
Austria,Philippines,Asia,0,0,0,0,0,0,0
Austria,Poland,Europe,880,320,470,0,0,490,0
Austria,Portugal,Europe,420,0,0,0,0,0,0
Austria,Puerto Rico,Americas,0,0,0,0,0,0,0
Austria,Qatar,Asia,0,0,0,0,0,0,0
Austria,South korea,Other,0,0,0,0,0,0,0
Austria,Romania,Europe,420,0,0,0,0,0,0
Austria,Saudi Arabia,Asia,0,0,0,0,0,0,0
Austria,Serbia,Europe,610,0,310,330,0,0,0
Austria,Singapore,Asia,310,0,0,0,0,0,0
Austria,Slovakia,Europe,510,0,0,0,0,0,0
Austria,Slovenia,Europe,380,0,0,0,0,0,0
Austria,South Africa,Africa,0,0,0,0,0,0,0
Austria,Spain,Europe,2100,930,1000,0,880,890,0
Austria,Sri Lanka,Asia,0,0,0,0,0,0,0
Austria,Sudan,Africa,0,0,0,0,0,0,0
Austria,Sweden,Europe,1300,560,680,0,370,730,0
Austria,Switzerland,Europe,3300,1700,1500,0,1000,1700,460
Austria,Taiwan,Asia,430,0,0,0,0,0,0
Austria,Thailand,Asia,0,0,0,0,0,0,0
Austria,Tunisia,Africa,0,0,0,0,0,0,0
Austria,Türkiye,Asia,3200,1500,1000,0,1400,1400,0
Austria,Uganda,Africa,0,0,0,0,0,0,0
Austria,Ukraine,Europe,390,0,0,0,0,0,0
Austria,United Arab Emirates,Asia,610,300,0,0,0,300,0
Austria,United Kingdom,Europe,4500,1800,2400,0,1600,2200,370
Austria,United States of America,Americas,12000,5300,5900,630,3200,6000,2200
Austria,Uruguay,Americas,0,0,0,0,0,0,0
Austria,Uzbekistan,Asia,0,0,0,0,0,0,0
Austria,Venezuela (Bolivarian Republic of),Americas,0,0,0,0,0,0,0
Austria,Viet Nam,Asia,0,0,0,0,0,0,0
Azerbaijan,Argentina,Americas,0,0,0,0,0,0,0
Azerbaijan,Armenia,Asia,0,0,0,0,0,0,0
Azerbaijan,Australia,Oceania,0,0,0,0,0,0,0
Azerbaijan,Austria,Europe,0,0,0,0,0,0,0
Azerbaijan,Azerbaijan,Asia,0,0,0,0,0,0,0
Azerbaijan,Bahrain,Asia,0,0,0,0,0,0,0
Azerbaijan,Bangladesh,Asia,0,0,0,0,0,0,0
Azerbaijan,Belarus,Europe,0,0,0,0,0,0,0
Azerbaijan,Belgium,Europe,0,0,0,0,0,0,0
Azerbaijan,Bosnia and Herzegovina,Europe,0,0,0,0,0,0,0
Azerbaijan,Brazil,Americas,0,0,0,0,0,0,0
Azerbaijan,Brunei Darussalam,Asia,0,0,0,0,0,0,0
Azerbaijan,Bulgaria,Europe,0,0,0,0,0,0,0
Azerbaijan,Canada,Americas,700,0,0,0,0,370,0
Azerbaijan,Chile,Americas,0,0,0,0,0,0,0
Azerbaijan,China (Mainland),Asia,0,0,0,0,0,0,0
Azerbaijan,Colombia,Americas,0,0,0,0,0,0,0
Azerbaijan,Costa Rica,Americas,0,0,0,0,0,0,0
Azerbaijan,Croatia,Europe,0,0,0,0,0,0,0
Azerbaijan,Cuba,Americas,0,0,0,0,0,0,0
